211,Concepts of God,3
212,"Existence, knowability & attributes of God",3
213,Creation,3
214,Theodicy,3
215,Science and religion,3
216,[Unassigned],3
217,[Unassigned],3
218,Humankind,3
219,[Unassigned],3
220,Bible,3
221,Old Testament (Tanakh),3
222,Historical books of Old Testament,3
223,Poetic books of Old Testament,3
224,Prophetic books of Old Testament,3
225,New Testament,3
226,Gospels and Acts,3
227,Epistles,3
228,Revelation (Apocalypse),3
229,Apocrypha and pseudepigrapha,3
230,Christianity,3
231,God,3
232,Jesus Christ and his family,3
233,Humankind,3
234,Salvation and grace,3
235,Spiritual beings,3
236,Eschatology,3
237,[Unassigned],3
238,Creeds & catechisms,3
239,Apologetics and polemics,3
240,Christian moral and devotional theology,3
241,Christian ethics,3
242,Devotional literature,3
243,Evangelistic writings for individuals,3
244,[Unassigned],3
245,[Unassigned],3
246,Use of art in Christianity,3
247,Church furnishings and related articles,3
248,"Christian experience, practice, life",3
249,Christian observances in family life,3
250,Local Christian church and religious orders,3
251,Preaching (Homiletics),3
252,Texts of sermons,3
253,Pastoral work (Pastoral theology),3
254,Local church administration,3
255,Religious congregations and orders,3
256,[Unassigned],3
257,[Unassigned],3
258,[Unassigned],3
259,Pastoral care of families & kinds of persons,3
260,Christian social and ecclesiastical theology,3
261,Social theology and interreligious relations,3
262,Ecclesiology,3
263,"Days, times, places of religious observance",3
264,Public worship,3
265,"Sacraments, other rites and acts",3
266,Missions,3
267,Associations for religious work,3
268,Religious education,3
269,Spiritual renewal,3
270,"History, geographic treatment, biography",3
271,Religious orders in church history,3
272,Persecutions in general church history,3
273,Doctrinal controversies & heresies,3
274,History of Christianity in Europe,3
275,History of Christianity in Asia,3
276,History of Christianity in Africa,3
277,History of Christianity in North America,3
278,History of Christianity in South America,3
279,History of Christianity in other areas,3
280,Denominations & sects of Christian church,3
281,Early church and Eastern churches,3
282,Roman Catholic Church,3
283,Anglican churches,3
284,Protestants of Continental origin,3
285,"Presbyterian, Reformed & Congregational",3
286,"Baptist, Restoration & Adventist",3
287,Methodist and related churches,3
288,[Unassigned],3
289,Other denominations and sects,3
290,Other religions,3
291,[Unassigned],3
292,Classical religion (Greek & Roman religion),3
293,Germanic religion,3
294,Religions of Indic origin,3
295,"Zoroastrianism (Mazdaism, Parseeism)",3
296,Judaism,3
297,"Islam, Babism & Bahai Faith",3
298,(Optional number),3
299,Religions not provided for elsewhere,3
300,Social sciences,3
301,Sociology and anthropology,3
302,Social interaction,3
303,Social processes,3
304,Factors affecting social behavior,3
305,Groups of people,3
306,Culture and institutions,3
307,Communities,3
308,[Unassigned],3
309,[Unassigned],3
310,Collections of general statistics,3
311,[Unassigned],3
312,[Unassigned],3
313,[Unassigned],3
314,General statistics of Europe,3
315,General statistics of Asia,3
316,General statistics of Africa,3
317,General statistics of North America,3
318,General statistics of South America,3
319,General statistics of other areas,3
320,Political science (Politics and government),3
321,Systems of governments and states,3
322,Relation of state to organized groups,3
323,Civil and political rights,3
324,The political process,3
325,International migration and colonization,3
326,Slavery and emancipation,3
327,International relations,3
328,The legislative process,3
329,[Unassigned],3
330,Economics,3
331,Labor economics,3
332,Financial economics,3
333,Economics of land and energy,3
334,Cooperatives,3
335,Socialism and related systems,3
336,Public finance,3
337,International economics,3
338,Production,3
339,Macroeconomics and related topics,3
340,Law,3
341,Law of nations,3
342,Constitutional and administrative law,3
343,"Military, tax, trade & industrial law",3
344,"Labor, social, education & cultural law",3
345,Criminal law,3
346,Private law,3
347,Procedure and courts,3
348,"Laws, regulations, cases",3
349,Law of specific jurisdictions & areas,3
350,Public administration and military science,3
351,Public administration,3
352,General considerations of public administration,3
353,Specific fields of public administration,3
354,Administration of economy & environment,3
355,Military science,3
356,Foot forces & warfare,3
357,Mounted forces & warfare,3
358,Air & other specialized forces,3
359,Sea forces and warfare,3
360,Social problems and services; associations,3
361,Social problems and services,3
362,Social problems and services to groups,3
363,Other social problems and services,3
364,Criminology,3
365,Penal and related institutions,3
366,Secret associations and societies,3
367,General clubs,3
368,Insurance,3
369,Associations,3
370,Education,3
371,Schools and their activities; special education,3
372,Primary education (Elementary education),3
373,Secondary education,3
374,Adult education,3
375,Curricula,3
376,[Unassigned],3
377,[Unassigned],3
378,Higher education (Tertiary education),3
379,Public policy issues in education,3
380,"Commerce, communications, transportation",3
381,Commerce (Trade),3
382,International commerce (Foreign trade),3
383,Postal communication,3
384,Communications,3
385,Railroad transportation,3
386,Inland waterway and ferry transportation,3
